"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
1992,4.5484347826087,6.57168421052632,7.00060526315789,31.0417777777778,0.0677506237777778,-0.00313487733333333,5.45691111111111,0.0118546377777778,-0.00164646888888889,3.72986666666667,0.0029585347826087,0.00828185217391304,7.43977777777778,-0.0375277419354839,-0.00118667741935484,7.06606451612903,-0.000601017547169811,0.00577870094339623,0.00391311320754717,-0.000273605283018868
1993,5.3670652173913,6.11228947368421,6.58084210526316,39.5545652173913,0.0307667608695652,3.277e-05,5.34389130434783,-0.0109401086956522,0.00046520652173913,3.31830434782609,0.0361792357777778,0.0157583777777778,7.03395652173913,-0.012252135483871,0.0108129677419355,6.18112903225806,0.00497285740740741,0.00358666611111111,0.0118146111111111,-0.00157642962962963
1994,5.00267391304348,6.28002702702703,6.68508108108108,41.1282222222222,0.0570994,-0.000990952666666667,5.31648888888889,0.0260451666666667,-0.00141908964444444,3.37026666666667,0.0175239565217391,0.00957076086956522,7.16097777777778,-0.00829300666666667,0.00264646333333333,6.25326666666667,0.00635651648148148,0.00432961666666667,0.016973972962963,-0.00223628483333333
1995,4.81136956521739,6.43378947368421,6.91528947368421,45.3897777777778,0.0692735155555556,-0.00265162444444444,5.59973333333333,0.00469493333333333,-0.00136373711111111,3.61411111111111,0.0377091086956522,0.0201465869565217,6.96266666666667,-0.0369443666666667,0.00705451,5.81296666666667,-0.00203041886792453,0.00547164773584906,0.011202679245283,-0.00178857358490566
1996,4.79069565217391,6.06834210526316,6.47592105263158,38.0810869565217,0.0240359347826087,-0.00214911869565217,5.43754347826087,-0.000834413043478261,-0.000730166304347826,3.18832608695652,0.0451054937777778,0.0173571333333333,7.83108695652174,-0.00171012903225806,0.00301984838709677,6.37090322580645,0.00752498703703704,0.00341776111111111,0.0144740240740741,-0.00199051666666667
1997,4.80097826086957,6.20494594594595,6.57916216216216,37.072,0.0216993111111111,-0.00118563844444444,5.11993333333333,0.0161832555555556,-0.00134689111111111,3.24851111111111,0.0309378608695652,0.0109773934782609,7.07982222222222,0.0069378,0.00405284333333333,6.39446666666667,0.00751068518518518,0.00242629444444444,0.0192329944444444,-0.00371894759259259
1998,5.5635,6.50955263157895,7.12921052631579,55.7397777777778,0.0414681777777778,-0.00177778,6.7474,0.000753244444444444,-0.000917245622222222,3.92375555555556,0.0137240434782609,0.017772937826087,8.36422222222222,-0.0670187,0.00323505,6.91233333333333,0.00537564150943396,0.0037681620754717,0.0169142037735849,-0.00233918867924528
1999,5.12060869565217,5.86534210526316,6.24092105263158,46.2802222222222,-0.000605555555555555,-0.00152406888888889,4.80917777777778,-0.00603983333333333,3.25133333333333e-05,2.93751111111111,0.0186052004444444,0.0128990062222222,6.51322222222222,0.0110219032258065,0.00479758064516129,5.389,0.00708505660377359,0.00402863962264151,0.0179284320754717,-0.00208224113207547
2000,4.31428260869565,6.09989473684211,6.493,44.8708695652174,0.0129109130434783,-0.000308766304347826,5.13526086956522,0.00261941304347826,-0.000369045217391304,3.17769565217391,0.0307951086956522,0.010251797826087,7.04682608695652,0.00209243333333333,0.000796474666666667,5.84126666666667,0.00706492592592593,0.00324104259259259,0.0181896296296296,-0.00255372407407407
2001,4.60213043478261,6.13094736842105,6.47663157894737,37.0684444444444,0.0263187133333333,-0.000699204444444444,4.73111111111111,0.0121844577777778,-0.000835067777777778,3.12071111111111,0.0172524891304348,0.00425288260869565,6.47933333333333,0.00230588666666667,0.00020023,5.34186666666667,0.00533201886792453,0.00462629622641509,0.0209966603773585,-0.00316618301886792
2002,3.89776086956522,5.73365789473684,6.06718421052632,40.8675555555556,0.0418232133333333,-0.000759045555555556,4.54668888888889,0.0243300222222222,-0.00152474355555556,2.79811111111111,0.00864744444444445,0.00177294,6.51426666666667,-0.0347180322580645,-0.00300827419354839,5.46425806451613,0.0286443528301887,-0.00188003962264151,0.043617320754717,-0.00565897169811321
2003,4.11989130434783,6.06573684210526,6.47334210526316,44.1560869565217,0.0140323260869565,-0.00145399913043478,5.42641304347826,0.00755134130434783,-0.000995941195652174,3.13976086956522,0.0161814288888889,0.0177882244444444,7.70086956521739,-0.0270318612903226,0.0042291,6.39141935483871,0.0168836111111111,0.000706955555555556,0.0249293388888889,-0.00348273888888889
2004,4.27663043478261,5.84673684210526,6.22718421052632,42.5004444444444,0.0157295555555556,-0.000403319777777778,5.18951111111111,0.00879782222222222,-0.000530411333333333,2.95971111111111,0.016710152173913,0.00979336956521739,7.42677777777778,-0.0124868,0.00157210333333333,6.56113333333333,0.00976321037735849,0.00263111320754717,0.0175051641509434,-0.00242966547169811
2005,4.75010869565217,6.18581578947368,6.62228947368421,41.8755555555556,0.0636797222222222,-0.00179997111111111,5.51937777777778,0.0179546,-0.00131787555555556,3.35557777777778,0.0180038911111111,0.00801608444444444,7.27331111111111,-0.000230838709677419,0.00600973870967742,6.56406451612903,0.00528275471698113,0.00320620686792453,0.0132786037735849,-0.00189511886792453
2006,5.02841304347826,5.71213157894737,6.15192105263158,48.0769565217391,-0.00144773913043478,-0.000807617391304348,5.29765217391304,-0.0157014086956522,-4.65021739130435e-05,2.94117391304348,0.0345276444444444,0.0137698755555556,7.31191304347826,0.0159854838709677,0.000179777096774193,6.50941935483871,0.00517399259259259,0.00411536481481482,0.0172357,-0.00193339796296296
2007,4.65771739130435,6.17843243243243,6.58135135135135,45.0651111111111,0.0176383777777778,2.22222222222224e-07,5.17971111111111,0.0203658222222222,-0.00146382888888889,3.22735555555556,0.00661558695652174,0.0071655152173913,6.66953333333333,-0.0127622,0.00089056,5.81336666666667,0.0222087148148148,-0.00121563333333333,0.0303246759259259,-0.00444613333333333
2008,4.57417391304348,5.85126315789474,6.21923684210526,47.0608888888889,0.0190845155555556,0.000724359111111111,4.63337777777778,0.00981462,-9.97666666666667e-05,2.87026666666667,0.00822010869565217,0.00404402608695652,6.00693333333333,-0.0189501870967742,-0.000216844838709677,5.19351612903226,0.0311823075471698,-0.00252294339622642,0.0471657169811321,-0.00537569433962264
2009,3.76565217391304,6.02847368421053,6.37973684210526,43.089347826087,0.036068347826087,-0.00070986347826087,4.723,0.0283306652173913,-0.00116853152173913,2.99910869565217,0.0144596444444444,-0.00320046222222222,6.32321739130435,0.0122481612903226,-0.00676546451612903,5.42783870967742,0.0173967592592593,0.000702993333333333,0.02755915,-0.00349803574074074
2010,4.20523913043478,5.88116216216216,6.31102702702703,50.4704444444444,0.0093982,-0.00199969777777778,5.33355555555556,0.00182986666666667,-0.00159378155555556,3.04684444444444,0.0392705413043478,0.0192795434782609,7.05304444444444,-0.0200745366666667,0.0044069,5.9209,0.0327625777777778,-0.00311104814814815,0.0421212777777778,-0.00496012962962963
2011,3.83408695652174,5.90988834951456,6.28445242718447,30.2733233082707,0.018363022556391,-0.0012673969924812,5.05244962406015,0.00890545112781955,-0.000488647278195489,3.03556691729323,0.0357385987261147,0.00844222929936306,6.63326992481203,0.0117047540983607,0.00270696721311475,7.19855901639344,0.0245182710280374,-0.00225102803738318,0.0726835981308411,-0.0118228504672897
2012,9.30310326086957,6.17028881578947,6.31693947368421,29.2211483516484,0.0894103296703297,-0.00219791208791209,4.33257637362637,0.105252252747253,-0.00505675824175824,2.95660714285714,0.0110094535519126,0.00349546448087432,6.17810274725275,0.0136572950819672,0.000509836065573771,6.48311393442623,0.0472639252336449,-0.0111220093457944,0.0913045794392523,-0.0158107476635514
2013,8.85732826086956,6.22739536423841,6.4219821192053,34.2921933701657,0.0786718784530387,-0.000892872928176796,4.63113922651934,0.103466906077348,-0.00489082872928177,2.92243149171271,-0.00372368131868132,0.00201538461538462,6.73682154696133,-0.0199152459016393,-0.00163360655737705,7.00119508196721,0.0449564953271028,-0.0101532242990654,0.0923949065420561,-0.0167181308411215
2014,9.62674782608696,6.42053046357616,6.58849735099338,29.386635359116,0.0971325966850829,-0.00175309392265193,4.42387182320442,0.110647900552486,-0.00568674033149171,3.11592817679558,-0.00319967032967033,0.000933901098901099,6.83536906077348,-0.0230450819672131,-0.00349303278688525,7.54050163934426,0.0302763551401869,-0.00412093457943925,0.0517517757009346,-0.00765285046728972
2015,10.1836358695652,6.02113509933775,6.31149867549669,30.6549779005525,0.0476629834254144,-0.000857955801104972,5.16757348066298,0.060311270718232,-0.00219707182320442,2.91164309392265,0.00131824175824176,0.0039971978021978,8.4531270718232,-0.0161545901639344,-0.00377311475409836,8.57495901639344,0.0701201869158879,-0.0180714485981308,0.111117897196262,-0.0200039719626168
2016,10.0507826086957,6.25321776315789,6.47510460526316,23.654978021978,0.12379467032967,-0.00283478021978022,4.93359945054945,0.136840604395604,-0.00666054945054945,2.96567197802198,0.020787650273224,0.0120654098360656,7.9923021978022,-0.0400964754098361,-0.000388360655737705,7.78836885245902,0.0441401869158878,-0.00882224299065421,0.0748757476635514,-0.0124891588785047
2017,9.70570652173913,6.07848874172185,6.24478741721854,28.1942320441989,0.10560955801105,-0.00129154696132597,4.75163701657459,0.110674364640884,-0.00428718232044199,2.82610055248619,0.0273704395604396,0.00721741758241758,7.60501657458564,0.00581254098360656,0.00448245901639344,7.04517049180328,0.0351388785046729,-0.00709453271028037,0.0618635981308411,-0.00964757009345794
2018,9.36282065217391,6.42245298013245,6.60109139072848,22.1975027624309,0.114360055248619,-0.00134149171270718,4.75797237569061,0.119261878453039,-0.00471745856353591,3.19725193370166,0.00695956043956044,0.00601967032967033,7.31351215469613,-0.0160986885245902,0.00106581967213115,6.65137459016393,0.0365144859813084,-0.00637257009345794,0.0597669626168224,-0.00951261682242991
2019,9.41410869565217,6.59137947019868,6.84585364238411,27.2046187845304,0.0753244751381215,-0.00104254143646409,4.9956,0.0557126519337017,-0.00189972375690608,3.42640828729282,-0.00199208791208791,0.00523065934065934,7.45445303867403,-0.0218877868852459,-0.00358581967213115,7.08529508196721,0.020508691588785,-0.00096303738317757,0.0369209813084112,-0.00438495327102804
2020,9.91679347826087,6.4226375,6.62411513157895,26.9891703296703,0.0890091758241758,-0.000988516483516483,4.66300934065934,0.0852852197802198,-0.00326565934065934,3.2065,-0.00655327868852459,0.0036644262295082,6.85364340659341,-0.0236848360655738,-0.00334754098360656,6.40195081967213,0.031409953271028,-0.00593406542056075,0.048479953271028,-0.00734514018691589
2021,9.41692391304348,6.0948701986755,6.32108609271523,24.8851878453039,0.0480600552486188,-0.000285303867403315,4.41326187845304,0.0578385635359116,-0.00225325966850829,2.91982375690608,-0.0140593956043956,0.00135868131868132,6.82705138121547,-0.0136046721311475,-0.00282540983606557,6.54121475409836,0.0189589252336449,-0.000673598130841121,0.0427491588785047,-0.00561205607476636
2022,8.81075,6.05893443708609,6.28777284768212,27.1041602209945,0.0795603314917127,-0.00307480662983425,4.64692430939226,0.102112651933702,-0.00466779005524862,2.92901325966851,-0.00395263736263736,-0.00171873626373626,6.77881878453039,-0.0245596721311475,-0.000488852459016393,6.11413114754098,0.0387473658536585,-0.00756073170731707,0.0518584390243902,-0.00773746341463415
